order,family,genus,specificEpithet,countryDistribution,biogeographicRealm,iucnStatus,Scientific_Name
Artiodactyla,Cervidae,Mazama,americana,Colombia|Venezuela|Ecuador|Peru|Guyana|Suriname|French Guiana|Brazil|Trinidad and Tobago,Neotropic,DD,Mazama americana
Artiodactyla,Cervidae,Rangifer,tarandus,Norway|Finland|Russia|Mongolia|Canada|Greenland|United States,Palearctic|Nearctic,VU,Rangifer tarandus
Artiodactyla,Cervidae,Cervus,canadensis,Kazakhstan|Kyrgyzstan|Russia|Mongolia|China|Bhutan|Canada|United States,Palearctic|Nearctic,LC,Cervus canadensis
Artiodactyla,Cervidae,Cervus,elaphus,Ireland|United Kingdom|Norway|Sweden|Portugal|Spain|France|Belgium|Netherlands|Germany|Denmark|Luxembourg|Switzerland|Liechtenstein|Italy|Austria|Czech Republic|Poland|Slovakia|Hungary|Croatia|Slovenia|Bosnia and Herzegovina|Serbia|Montenegro|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Russia|Georgia|Armenia|Azerbaijan|Turkey|Iran|Iraq|Morocco|Algeria|Tunisia,Palearctic,LC,Cervus elaphus
Artiodactyla,Cervidae,Dama,dama,Ireland|United Kingdom|Portugal|Spain|France|Belgium|Netherlands|Germany|Denmark|Switzerland|Luxembourg|Liechtenstein|Austria|Italy|Hungary|Slovenia|Slovakia|Czech Republic|Poland|Sweden|Norway|Croatia|Bosnia and Herzegovina|Montenegro|Albania|Serbia|Kosovo|Greece|Turkey|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Finland|Russia,Palearctic,LC,Dama dama
Artiodactyla,Giraffidae,Giraffa,camelopardalis,Niger|Cameroon|Chad|Central African Republic|Democratic Republic of the Congo|Sudan|South Sudan|Kenya|Uganda,Afrotropic,VU,Giraffa camelopardalis
Artiodactyla,Moschidae,Moschus,fuscus,China|India|Bhutan|Nepal|Myanmar,Palearctic|Indomalaya,EN,Moschus fuscus
Artiodactyla,Tragulidae,Tragulus,javanicus,Indonesia,Indomalaya,DD,Tragulus javanicus
Artiodactyla,Suidae,Potamochoerus,larvatus,Ethiopia|South Sudan|Somalia|Kenya|Uganda|Democratic Republic of the Congo|Rwanda|Burundi|Tanzania|Zambia|Angola|Malawi|Mozambique|Zimbabwe|Botswana|Namibia|South Africa|Eswatini,Afrotropic,LC,Potamochoerus larvatus
Artiodactyla,Camelidae,Camelus,dromedarius,Domesticated,,NE,Camelus dromedarius
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Senegal|Gambia|Guinea-Bissau|Guinea|Mali|Sierra Leone|Cote d'Ivoire|Burkina Faso|Ghana|Togo|Benin|Nigeria|Niger|Cameroon|Chad|Central African Republic|Equatorial Guinea|Gabon|Republic of the Congo|Democratic Republic of the Congo|Sudan|South Sudan|Ethiopia|Somalia|Kenya|Uganda|Rwanda|Burundi|Tanzania|Angola|Zambia|Malawi|Mozambique|Namibia|Botswana|Zimbabwe|South Africa|Eswatini,Afrotropic,VU,Hippopotamus amphibius
Artiodactyla,Balaenopteridae,Balaenoptera,musculus,Angola|Argentina|Australia|Bangladesh|Bermuda|Brazil|Cape Verde|Canada|Chile|Cocos Islands|Colombia|Comoros|Cook Islands|Costa Rica|Djibouti|Ecuador|El Salvador|Falkland Islands|Fiji|France|Greenland|Guatemala|Iceland|India|Indonesia|Iran|Ireland|Iraq|Japan|Kenya|Kiribati|Madagascar|Malaysia|Christmas Island|Maldives|Mauritania|Mauritius|Mexico|Morocco|Mozambique|Myanmar|Namibia|Nauru|New Caledonia|New Zealand|Nicaragua|Norfolk Island|Norway|Oman|Pakistan|Palau|Panama|Papua New Guinea|Peru|Philippines|Portugal|Azores|Madeira|Russia|Réunion|Senegal|Seychelles|Solomon Islands|Somalia|South Africa|South Georgia and the South Sandwich Islands|Spain|Canary Islands|Sri Lanka|Tanzania|Thailand|East Timor|Tuvalu|United Kingdom|United States|Uruguay|Vanuatu|Yemen|Gabon?|North Korea?|South Korea?|Taiwan?|China?,Marine,EN,Balaenoptera musculus
Artiodactyla,Delphinidae,Grampus,griseus,Algeria|Angola|Anguilla|Antigua and Barbuda|Argentina|Aruba|Australia|Bahamas|Barbados|Bermuda|Brazil|Canada|Cayman Islands|Chile|Colombia|Comoros|Cook Islands|Costa Rica|Croatia|Cuba|Cote d'Ivoire|Denmark|Dominica|Ecuador|Egypt|Eritrea|France|French Polynesia|Gabon|Gambia|Germany|Ghana|Greece|Grenada|Guadeloupe|Guam|Guatemala|Guinea-Bissau|Haiti|India|Indonesia|Iran|Ireland|Israel|Italy|Jamaica|Japan|North Korea|South Korea|Lebanon|Madagascar|Maldives|Malta|Martinique|Mauritania|Mauritius|Mayotte|Mexico|Morocco|New Caledonia|New Zealand|Oman|Pakistan|Panama|Papua New Guinea|Peru|Philippines|Russia|Saint Vincent and the Grenadines|Samoa|Saudi Arabia|Seychelles|Solomon Islands|Somalia|South Africa|Spain|Sri Lanka|Sudan|Sweden|Syria|Taiwan|China|Tanzania|East Timor|Tonga|Trinidad and Tobago|Tunisia|Turkey|United Arab Emirates|United States|United Kingdom|Uruguay|Venezuela|Vietnam|Yemen|Cyprus|French Guiana|Kenya|Mozambique|Norway|Puerto Rico|Senegal|United States Virgin Islands|Albania?|American Samoa?|Bahrain?|Bangladesh?|Belgium?|Belize?|Benin?|Bonaire?|Sint Eustatius?|Saba?|Bosnia and Herzegovina?|Brunei?|Cape Verde?|Cambodia?|Cameroon?|Cocos Islands?|Republic of the Congo?|Democratic Republic of the Congo?|Curaçao?|Djibouti?|Dominican Republic?|El Salvador?|Equatorial Guinea?|Fiji?|Guinea?|Guyana?|Honduras?|Jordan?|Kiribati?|Liberia?|Malaysia?|Marshall Islands?|Micronesia?|Montenegro?|Montserrat?|Myanmar?|Namibia?|Nauru?|Netherlands?|Nicaragua?|Nigeria?|Niue?|Northern Marianas?|Palau?|Pitcairn?|Portugal?|Qatar?|Saint Kitts and Nevis?|Saint Lucia?|Sint Maarten?|São Tomé and Príncipe?|Sierra Leone?|Singapore?|Slovenia?|Suriname?|Thailand|Togo?|Turks and Caicos Islands?|Tuvalu?|Vanuatu|British Virgin Islands?|Wallis and Futuna?,Marine,LC,Grampus griseus
Artiodactyla,Pontoporiidae,Pontoporia,blainvillei,Argentina|Brazil|Uruguay,Marine,VU,Pontoporia blainvillei
Perissodactyla,Equidae,Equus,Equus ferus,"Mongolia, China, Kazakhstan",Palearctic,EN,Equus przewalskii
